"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"T29,""SOIC_08_E1,27_L150_ReflowSoldering"",""9390mil"",""2519.055mil"",""9390mil"",""2519.055mil"",""9465mil"",""2619.055mil"",""T"",""180.00"",""NTMS4801N"""
"T28,""SOT23_3L_ReflowSoldering"",""3112.5mil"",""600mil"",""3112.5mil"",""600mil"",""3069.193mil"",""638.386mil"",""T"",""180.00"",""BC847C"""
"T27,""SOIC_08_E1,27_L150_ReflowSoldering"",""9650mil"",""2519.055mil"",""9650mil"",""2519.055mil"",""9725mil"",""2619.055mil"",""T"",""180.00"",""NTMS4801N"""
"T26,""SOT23_3L_ReflowSoldering"",""837.5mil"",""1375mil"",""837.5mil"",""1375mil"",""880.807mil"",""1336.614mil"",""T"",""0.00"",""BC847C"""
"T25,""SOT23_3L_ReflowSoldering"",""1200mil"",""1637.5mil"",""1200mil"",""1637.5mil"",""1161.614mil"",""1594.193mil"",""T"",""270.00"",""BC847C"""
"T23,""SOT23_3L_ReflowSoldering"",""7337.165mil"",""1420mil"",""7337.165mil"",""1420mil"",""7380.472mil"",""1381.614mil"",""T"",""360.00"",""BC847C"""
"T18,""SOT23_3L_ReflowSoldering"",""3395mil"",""1980mil"",""3395mil"",""1980mil"",""3356.614mil"",""1936.693mil"",""T"",""270.00"",""BC847C"""
"T16,""SOT23_3L_ReflowSoldering"",""3395mil"",""1715mil"",""3395mil"",""1715mil"",""3356.614mil"",""1671.693mil"",""T"",""270.00"",""BC847C"""
"T15,""SOT23_3L_ReflowSoldering"",""3395mil"",""1465mil"",""3395mil"",""1465mil"",""3356.614mil"",""1421.693mil"",""T"",""270.00"",""BC847C"""
"T14,""DPAK_Specifique_1"",""8926.535mil"",""3070mil"",""8784.803mil"",""3070mil"",""9068.267mil"",""2979.449mil"",""T"",""360.00"",""NTD2955G"""
"T12,""SOT23_3L_ReflowSoldering"",""3395mil"",""1215mil"",""3395mil"",""1215mil"",""3356.614mil"",""1171.693mil"",""T"",""270.00"",""BC847C"""
"T11,""SOT23_3L_ReflowSoldering"",""1237.5mil"",""1768.75mil"",""1237.5mil"",""1768.75mil"",""1199.114mil"",""1725.443mil"",""T"",""270.00"",""BC847C"""
"T10,""SOT23_3L_ReflowSoldering"",""4673.75mil"",""2100mil"",""4673.75mil"",""2100mil"",""4717.057mil"",""2061.614mil"",""T"",""0.00"",""BC847C"""
"T9,""SOT23_3L_ReflowSoldering"",""4090mil"",""1970mil"",""4090mil"",""1970mil"",""4046.693mil"",""2008.386mil"",""T"",""180.00"",""BC847C"""
